Number, Answer, Question
"",,"If your car hits a pedestrian by accident, but the pedestrian is not injured, you can"
027,X,speed away to avoid trouble.
"",,If you see a blind person or a person using a white-colored cane to assist them
028,O,"with walking on the street or crossing the street, you should help them or yield to"
"",,them.
"",,"You should be in good physical and mental condition when driving, so that you"
029,O,can concentrate on your driving.
"",,"Avoiding causing traffic accidents, and not violating traffic laws, are the main"
030,O,requirements for safe driving.
"",,"When driving, you should never ever be in such a rush that you speed and lose"
031,O,"your concentration, not even for one second, and always focus on your driving."
"",,"Driving is a tiresome work that requires good coordination of the body and mind,"
032,O,"so drivers may get exhausted easily. Therefore, keeping a healthy life can"
"",,significantly improve your driving safety.
"",,"Poor vehicle maintenance causes a lot of accidents. Therefore, you should keep"
033,O,all mechanical parts in good condition and follow the owner's manual regarding
"",,vehicle maintenance and safety inspection.
"",,If your car starts having a mechanical problem when you are driving and the
034,X,"problem may cause safety concern, you should continue driving anyway."
"",,You should conduct a vehicle safety check prior to each use in addition to having
035,O,regular maintenance done.
"",,"Traffic rules are designed to ensure orderly safe traffic flow. Therefore, you must"
036,O,not only familiarize yourself with but also abide by them.
037,O,You must check your car before you drive to improve road safety.
"",,"For drivers, following traffic rules is not as essential as having good driving"
038,X,skills.
"",,It is the responsibility of the vehicle owner and the driver to tightly secure cargo
039,O,loaded on the vehicle; this can reduce the probability of accidents
"",,The main cause of traffic accidents is drivers who continue to drive despite the
040,O,fact that they are exhausted.
"",,Physically or mentally challenged people are allowed to drive without any
041,X,restrictions.
042,O,Drivers must focus on their driving at all times.
043,X,Fatigue driving won't impair safety as long as you drive more slowly.
"",,Reaction distance plus braking distance equals the distance required to stop a
044,O,moving vehicle.
045,O,"If you drive, do not drink. And if you drink, do not drive."
"",,"If a driver causes an accident that results in death or injury, they are liable for"
"",,"criminal consequences including imprisonment, civil consequences such as being"
046,O,
"",,"held responsible for loss or damages (indemnity), and administrative"
"",,consequences like having their driver's license suspended.
"",,Drivers who cause death or injury due to negligence are liable for criminal
"",,"consequences, civil consequences, and administrative consequences. It is not the"
047,O,
"",,"case that there is no indemnity if you are imprisoned, or no imprisonment if there"
"",,is indemnity.
"",,Drivers who cause death or injury due to negligence are by law subject to
048,O,criminal liability and civil indemnity.
"",,Intentional death or injury by a driver is considered willful murder or assault by
049,O,law.
"",,"Bad driving habits such as tailgating, changing lanes randomly, changing lanes"
051,O,"suddenly to speed up turning, speeding or driving in a frenzy are the most"
"",,common bad driving habits.
"",,"Failure to use a turn signal before turning, and not paying attention to the"
052,O,"vehicles following behind when making turns, are the most common causes of"
"",,accidents.
"",,"Before entering lanes or changing lanes, drivers should flash their turn signal to"
"",,"signal their direction, check for vehicles in their rear view mirror and look over"
053,O,their left and right shoulders to check the movement of vehicles in the adjacent
"",,lanes in order to eliminate the blind spots not shown in the rear view mirror.
"",,"When driving in high speed, drivers are likely to neglect objects on both sides"
054,O,"and up ahead. Therefore, drivers should always observe the road carefully far up"
"",,ahead and avoid speeding.
"",,"Long tunnel is an extremely enclosed underground space. If a fire occurs,"
055,O,"temperature in the tunnel may rise as high as 1,000°C and cause a disaster if"
"",,drivers do not follow regulations or evacuation procedures in the tunnel.
"",,"Vehicles carrying dangerous items or loads that are extra long, extra wide, extra"
056,O,"tall, or extra heavy are prohibited from traveling in long tunnels."
"",,
"",,Drivers may not throw any object out of their vehicle when they are driving in a
057,O,
"",,long tunnel.
"",,Drivers may not randomly change lanes when they are driving in long tunnels.
058,O,
059,O,Drivers may not stop their vehicle to add fuel when they are in a long tunnel.
"",,Drivers are required to turn on their headlights in long tunnels because these
060,O,tunnels are dark.
"",,Drivers are required to pull their vehicles into an emergency parking bay
061,O,provided along the roadside and turn on their emergency warning lights if any
"",,accident occurs involving their vehicle in a tunnel.
"",,If a vehicle stalled in a long tunnel with its engine running consequently causing
062,O,"the air quality to deteriorate or become toxic, the driver is required to turn off the"
"",,engine to reduce the emission of toxic gas.
"",,"If a fire occurs when driving through a long tunnel, drivers should stay calm and"
063,O,pull their car over to the side of the tunnel to allow fire engines and ambulances
"",,to enter into the tunnel.
"",,"If a fire occurs in a long tunnel, drivers are required to stop the car and turn off"
"",,"the engine. Everyone should take their valuables and evacuate the vehicle,"
064,O,
"",,"leaving the keys in the ignition and the doors unlocked, so fire fighters can"
"",,remove cars.
"",,"If a fire occurs in a long tunnel, drivers and their passengers are required to keep"
065,O,their body low to the ground and evacuate opposite the direction of the fire in
"",,order to minimize the damage caused by smoke inhalation.
"",,"Those afflicted with serious mental deficiencies, blindness, or epilepsy are"
066,O,prohibited from having a driver's license.
"",,"Those who are addicted to alcohol, narcotics, or amphetamines are prohibited"
067,O,from possessing a driver's license.
"",,A mini-van loaded with goods may not exceed a height 2.85 meters from the
068,O,ground.
"",,A mini-van loaded with goods may not exceed a height 3 meters from the ground.
069,X,
"",,"If goods being transported are likely to leak, blow away, or generate an odor, the"
070,O,vehicle driver is required to seal and/or secure these goods tightly.
071,O,No one is allowed to ride outside a vehicle.
"",,
"",,Applicants must get at least 70 points on the road test in order to pass the driving
072,O,
"",,test.
"",,"The body of an automobile is not allowed to have damage, loose parts, or doors"
073,O,that do not close properly.
"",,Unless a prior approval from the Motor Vehicle Registration
074,O,"Department is granted, you are not allowed to attach a trailer to your vehicle."
"",,Enforcing traffic rules to ensure the orderly flow of traffic is essential to traffic
075,O,safety.
"",,"Traffic signs are the lines or words painted on the surface of the road that warn,"
076,X,"control, and direct drivers for the purpose of regulating traffic flow."
"",,Motor vehicle owners or drivers can pay fines directly to the designated agency
077,O,within 15 days for citations issued by the road traffic administration if they do
"",,not intend to contest.
"",,Drivers with large truck licenses are also permitted to drive tractortrailer and
078,X,cars.
"",,"If a driver's license is permanently suspended, the driver is prohibited from"
079,O,taking driver's test with the exception of those meeting special criteria.
"",,Drivers are required to pay attention to the movement of the vehicles in front of
080,O,"them in the same lane, and to keep a safe distance that allows drivers to brake"
"",,and stop the vehicles.
"",,A person who possesses a current and legal driver's license may apply for an
081,O,international driver's license valid for the same time period and the same type of
"",,vehicle(s) as stated on their driver's license while they are abroad.
"",,Special vehicles are only allowed to carry passengers or goods in accordance
082,O,with the intended function or purpose of the vehicle.
"",,"If a driver's license is revoked or cancelled, the driver is required to return it to"
083,O,the Motor Vehicle Registration Department immediately.
"",,"Upon the death of a driver, the person responsible for handling the affairs of the"
084,O,deceased driver is required to return that driver's license to their local Motor
"",,Vehicle Registration Department.
"",,
"",,Goods loaded in or on vehicles have to be securely loaded and fastened down
085,O,
"",,tightly.
"",,"If a driver's license is acquired by unlawful or inappropriate means, the Motor"
086,O,Vehicle Registration Department will cancel their license and request the driver
"",,immediately turn it into the Department.
"",,A visitor who possess a valid international driver's license and has stayed for
087,O,more than 30 days should obtain a special permit from the Motor Vehicle
"",,Registration Department prior to driving in the R.O.C.
"",,"In addition to a fine, if a car owner who knowingly fails to stop the driver who"
"",,has an alcohol level exceeding the maximum tolerate standard or under the
088,O,
"",,"influence of drugs, or hallucinogens, hallucinogenic drugs, etc., his/her vehicle"
"",,license plate shall be suspended for 2 years.
"",,If a driver exceeds the maximum allowed driving time of 8 hours under the
089,O,"explicit orders of the vehicle owner, the vehicle registration will be suspended for"
"",,3 months.
"",,Checking the mechanical parts before driving is not necessary because it will
090,X,waste time.
091,O,Volume of the car horn should not exceed the standards regulated by law.
092,O,Drivers are only allowed to tap their horn once in each driving incidence.
"",,Driver's licenses are issued by the Motor Vehicle Registration Department after
093,O,drivers submit their application and pass both the written and the road test.
"",,"Drivers, who disobey instructions from the police or traffic enforcement officers"
"",,"and thus cause injury or death, will be penalized, their driver's license will be"
"",,"either suspended or cancelled, and they will be permanently prohibited from"
094,O,
"",,driving in the R.O.C. (except for those who meet certain criteria and those whose
"",,license suspension has expired in accordance with requirements stipulated by the
"",,government).
"",,"If a driver's license is lost damaged or stolen, the driver must apply to the Motor"
095,O,Vehicle Registration Department to get their driver's license replaced or reissued.
"",,Vehicles loaded with dangerous cargo must park in a cool and open area and at a
096,O,safe distance from other vehicles. All cargo must have labels indicating
"",,dangerous goods.
097,O,Buses must not obstruct traffic while loading or unloading passengers.
"",,"On narrow sloping roads, vehicles traveling downhill must yield to vehicles"
"",,traveling uphill. If the vehicle traveling uphill is at the foot of the hill and the
"",,"vehicle traveling down hill is already halfway down, then the vehicle traveling"
098,O,"uphill must yield to the vehicle traveling downhill. On mountainous roads,"
"",,vehicles traveling in the lane closest to the mountain must yield to vehicles in all
"",,other lanes. Violators will be penalized.
"",,"Minibuses are classified as buses having less than 9 seats, including the driver's"
099,O,seat.
"",,"Professional driver's licenses are reviewed every two years, starting from the date"
100,X,of issuance.
"",,The Directives Governing Penalties for Traffic Rule Violations were enacted for
101,O,the regulation of road traffic to facilitate the orderly flow of traffic thereby
"",,ensuring traffic safety.
"",,"Pedestrians should use overpasses, underpasses, and crosswalks only when they"
102,X,have no other option.
"",,"Traffic signs and marking lines are utilized for warning, restriction, and"
103,O,instruction.
"",,"If a driver causes an accident which does not result in injury or death, they are"
"",,still required to follow the legal procedures regarding accidents. If they leave the
104,O,
"",,"scene of the accident immediately, they will be fined and their driver's license"
"",,will be suspended.
"",,Drivers are required to comply with the traffic signs and to obey the instructions
105,O,of police officers or any other law enforcement officers.
"",,"If a vehicle is reported to be scrapped, but the vehicle owner is still using the"
106,O,"vehicle, the vehicle owner will be penalized and the subject vehicle will be"
"",,confiscated.
"",,If a vehicle owner permits a person without a driver's license to drive their
107,O,"vehicle, the owner's driver's license will be suspended."
"",,"If a driver illegally drives over a crosswalk, thus causing either injury or death to"
108,O,"a pedestrian, the criminal liability of the driver will increase by"
"",,50%.
"",,"Drivers who turn in another driver who has caused an accident, assist the injured"
109,O,"at the scene of an accident, and maintain an outstanding driving record are"
"",,eligible for an award bestowed by the government.
"",,"Any driver, who causes an accident that results in either a major injury or death"
110,O,"and then immediately leaves the scene of the accident, will have their driver's"
"",,license suspended and not be allowed to drive again.
"",,There is no restriction on the number of people who can sit in the cab of a truck
111,X,or the front seat of a car.
"",,"A driver, who runs a red light and thus causes either a major injury or death, will"
112,X,not necessarily have their driver's license suspended.
"",,"If a driver causes an accident which does not result in injury or death, they are"
"",,still required to follow the legal procedures regarding accidents. If they leave the
113,X,
"",,"scene of the accident immediately, they will be fined and their driver's license"
"",,will be cancelled.
"",,"If a driver fails to maintain a safe driving distance on a freeway, highway, or a"
114,O,"turnpike, they will be fined NTD 3,000~6,000."
115,X,Driving below the minimum speed limit is not considered a traffic violation.
"",,"When applying for a driver's license, applicants must get at least 90 points to"
116,X,pass the traffic rules exam
"",,"Those who have violated laws governing children and juvenile sex trade, or laws"
117,O,"governing the control of fire arms and weapons and were thus imprisoned, and"
"",,those who are convicted gangsters are not allowed to drive a taxi.
118,X,You can lend your driver's license to other people.
119,X,"With a learner driver's license, you are allowed to learn how to drive a bus."
"",,
"",,Trucks may carry goods that extend beyond the width of the vehicle body by up
120,X,
"",,to half a meter.
121,O,Drivers may not drive longer than 8 hours at one time.
122,X,Those who possess a license for driving a bus may also drive a trailer truck.
"",,Drivers who cause accidents resulting in severe injury because they violated
123,O,traffic rules will have their driver's license suspended.
"",,Drivers on highways or bridges that speed through the toll booth in order to avoid
124,O,"paying the toll, thus injuring a toll-booth worker, will have their driver's license"
"",,revoked.
"",,If an injury or death occurs because a pedestrian or driver in the slow lane is not
125,O,"following the traffic rules, the driver in the fast lane will be subject to reduced"
"",,criminal liability.
"",,"If a drunk driver causes an accident that results in major injury or death, their"
126,X,driver's license will be revoked for at least I year.
"",,"Excluding the driver, no more than 2 passengers are allowed to ride in the cab of"
127,O,a mini-truck.
"",,"If a driver is convicted of using their vehicle to commit a crime, they will be"
"",,permanently barred from ever driving in the R.O.C. (except for those who meet
128,O,
"",,certain criteria and whose suspension has expired in accordance with
"",,requirements stipulated by the government).
"",,Trucks may carry goods that extend beyond the front of the vehicle by up to two
129,X,meters.
"",,
"",,Goods loaded in covered trucks are allowed to extend up to 30cm beyond both
130,X,
"",,the length and width of the vehicle.
"",,
"",,Goods loaded on uncovered trucks have to be securely fastened down although
131,O,
"",,the goods are allowed to extend outside the body of the truck.
"",,Drivers whose license was either suspended or revoked are eligible to reapply for
132,X,a license after they attend one month of traffic classes.
"",,Drivers whose license was either suspended or revoked are prohibited from
133,O,applying for another driver's license during the suspension period.
"",,Drivers whose license was either suspended or revoked are allowed to apply for
134,X,another driver's license during the suspension period after they pay any fines.
"",,Drivers who accumulate a total of 6 or more demerit points for traffic violations
135,X,within a year are required to take a road traffic safety course.
136,O,"Physical checkups, physical exams, and written test scores are valid for one year."
"",,"Prior to making a right turn, the driver is required to either flash their right turn"
137,O,signal or raise their left arm with their palm facing slightly to the right to signal
"",,their turn.
"",,Drivers may tap their horn no more than once and no longer than half a second
138,O,per incidence.
"",,"When driving through an area with road signs indicating a winding road, tunnel,"
"",,"steep slope, narrow road, school, hospital, muddy road, flooding, or road under"
139,O,"construction, drivers must slow down and be prepared to stop at any time."
"",,Drivers should use their high-beam headlights when approaching oncoming
140,X,traffic at night.
"",,"When drivers hear the siren of a fire-engine, ambulance, security vehicle, or"
"",,"emergency vehicle, they are required to yield immediately regardless of the"
141,O,
"",,direction from which the siren comes and they may not follow those vehicles for
"",,the purpose of speeding.
"",,"When drivers enter a circular intersection with multiple lanes, they are not"
142,X,required to yield to vehicles in the inner lanes.
"",,Vehicles traveling on a two-way two-lane road are allowed to drive in the on-
143,X,coming traffic lane if the lanes are separated by a solid yellow double line.
"",,Vehicles traveling on a two-way two-lane road are allowed to pass vehicles in the
144,O,"on-coming traffic lane, but not drive side-by-side with vehicles traveling in the"
"",,same direction if the lanes are separated by a broken yellow line.
"",,Drivers have to comply with speed limits shown on signs. On roads with no
"",,"speed limit sign, drivers must not exceed a speed of 40 km per hour. On roads"
145,X,
"",,"without lines regulating lanes or oncoming traffic separation, drivers must not"
"",,exceed a speed of 30 km per hour.
"",,Drivers have to comply with speed limits shown on signs. On roads with no
"",,"speed limit sign, drivers must not exceed a speed of 50km per hour. On roads"
146,O,
"",,"without lines regulating lanes or oncoming traffic separation, drivers must not"
"",,exceed a speed of 40km per hour.
"",,"When driving in a highly congested area, a driver may honk their horn as often"
147,X,as they deem necessary to ensure safety.
"",,"Drivers do not have to yield to vehicles carrying children, the disabled, learner"
148,X,"drivers, or school buses."
"",,A driver may only park their car in a temporary parking space for less than three
149,O,minutes and must be prepared to move their car at any time.
"",,"In an intersection with both traffic signals and traffic control personnel, drivers"
150,O,must follow the instructions given by the traffic control personnel.
"",,"Before accelerating from a stop, drivers should yield to pedestrians and other"
151,O,vehicles that are already moving on the road.
"",,
"",,A pedestrian crosswalk is an area painted with either longitudinal lines or zebra
152,O,
"",,lines where pedestrians are allowed to cross the street.
"",,"Drivers that use hand-held cell phones, computers, or other similar devices to"
153,X,"call, talk, digitally communicate, or do other actions that might hinder driving"
"",,"safety while operating a moving vehicle on the road will be fined  1,000 NTD."
"",,
"",,"Drivers who are mentally exhausted, sick, or sleepy and thus unable to"
154,O,
"",,concentrate on their driving are prohibited from driving.
"",,Drivers parked on the side of the road are required to turn on their parking lights
155,O,"or put out a reflective warning sign if it is foggy, rainy, snowy, or there is reduced"
"",,visibility due to blowing sand or dust.
"",,"When driving in the same lane, the vehicle in the front and the vehicle in the"
"",,back are required to maintain a safe driving distance that allows them to brake
156,O,"and stop the vehicle, unless the vehicle in back is in the process of passing the"
"",,vehicle in front.
"",,"On mountain roads, vehicles in the lane closest to the mountain have to yield to"
157,O,vehicles in other lanes.
"",,Drivers must use their left turn signal to indicate their intention to pass another
"",,vehicle and maintain a distance of at least half a meter from the side of the other
158,O,vehicle during passing until they have reached a safe driving distance from the
"",,vehicle. They must also use their right turn signal before returning to the original
"",,lane.
"",,"At the intersection of two primary roads or two secondary roads, vehicles on the"
159,O,left must yield to vehicles on the right approaching from the opposite direction.
"",,"On roads with taxi pick-up/drop-off signs, taxis are only allowed to pick up"
160,O,"passengers at the designated areas, not anywhere else along that road."
161,X,"Taxi drivers may not refuse passengers going short distances,but they are"
"",,permitted to deliberately take detours while driving.
"",,"When operating a vehicle, drivers are required to carry their vehicle registration,"
162,O,"driver's license, and all other documents related to driving with them at all times."
"",,Drivers do not have to carry vehicle repair tools with them when they are on the
163,X,road.
"",,Drivers do not have to turn on their turn signal lights when they start their
164,X,vehicle.
"",,"Vehicle owners, drivers, pedestrians, and illegal road blockers who are fined for"
165,O,violating traffic rules are required to pay fines by the specified deadline. Those
"",,who fail to pay before the deadline shall be subject to injunctive enforcement.
"",,"Fire engines, ambulances, security vehicles, and other emergency vehicles are"
166,O,not subject to speed limit restrictions when they are on official duty.
"",,"Drivers are required to drive on the right side of the road, with the exception of"
"",,one-way roads. If they must drive on the left side of the road due to special
167,O,
"",,"circumstances, they must reduce speed and watch out for on-coming vehicles and"
"",,pedestrians.
"",,Vehicles traveling on a two-way two-lane road are required to stay inside their
168,O,lane.
"",,"On a one-way road with the edge of the road marked with border lines, drivers"
169,O,"may not drive over the border lines of the road, except for pulling over to stop or"
"",,park temporarily.
"",,"Fire engines, ambulances, security vehicles, and other emergency vehicles may"
170,O,drive in any lane on roads that have two or more lanes for traffic traveling in the
"",,same direction.
"",,"When changing lanes on multi-lane roads, drivers are required to signal their lane"
171,O,change with their turn signal light or their arm and to maintain a safe driving
"",,distance from other vehicles.
"",,"On one-lane bridges or in one-lane tunnels, it is forbidden for vehicles traveling"
172,O,from opposite directions to pass each other.
"",,"In circular intersection with multiple lanes, drivers must yield to vehicles in the"
173,O,inner lanes.
"",,Drivers are required to use back-up lights or signal with their arm before they
174,O,back up or drive in reverse. They should back up slowly and watch for other
"",,vehicles and pedestrians.
"",,"On roads with more than 2 lanes for vehicles traveling in the same direction,"
175,O,"drivers may drive in either the inner or outer lane. However, drivers may not"
"",,randomly change lanes.
"",,"Vehicles going straight have the right of way in their lane, not vehicles moving"
176,O,into their lane from other lanes.
"",,"On roads with 2 or more lanes for traffic traveling in the same direction, drivers"
"",,"must stay inside the lane lines and are not allowed to straddle two lanes, or cross"
177,O,"any line that marks the edge of the road, except for pulling over to stop or park"
"",,temporarily.
"",,"At intersections with designated turning lanes, vehicles going straight may not"
178,O,drive in designated turning lanes.
"",,"When traveling on a road with no lane lines separating oncoming traffic, lines"
179,O,"marking a railroad crossing or a poor condition road, drivers are required to slow"
"",,down when there is oncoming traffic.
"",,Passing is prohibited on two-lane roads if there is oncoming traffic or there are
180,O,multiple vehicles in front.
"",,"Before passing a vehicle in the same lane on a two-lane only two-way road,"
"",,drivers are required to either tap their horn twice or flash their headlights once.
181,O,
"",,They may pass if the vehicle in front slows down and pulls over to the roadside
"",,or uses an arm signal to indicate that they will yield.
"",,When a driver hears the vehicle behind them tap their horn indicating they want
182,O,"to pass, they are required to pull over to the roadside and yield to the vehicle"
"",,behind them if there is no barrier blocking their path.
"",,It is acceptable to follow behind fire trucks or police cars that are on duty when
183,X,in a hurry or in emergencies.
"",,"At an intersection with both traffic lights and traffic control personnel, drivers"
184,X,should comply with the traffic lights.
"",,"When turning left at an intersection, drivers must signal their turn 30 meters"
"",,before reaching the intersection. They must move into the inner lane or left turn
185,O,
"",,lane and make their turn from the center of the intersection. Under no
"",,circumstances may drivers make a left turn from the oncoming traffic lane.
"",,"On roads with a safety island separating the slow and fast lanes, drivers may not"
186,O,turn left from the slow lane.
"",,
"",,"On roads with a safety island separating the slow and fast lanes, drivers may not"
187,X,
"",,turn right from the slow lane.
"",,"At circular intersections with multiple lanes, vehicles in the outside lane have the"
188,X,right of way.
"",,"At the intersections with road lines or markings and signs for special purposes,"
189,O,"drivers are required to comply with the lines, road markings, and signs."
"",,Vehicles are required to slow down when they approach crosswalks; when
190,O,"pedestrians are crossing, vehicles should come to a complete stop to let the"
"",,pedestrians cross first.
"",,Vehicles may drive through slowly when pedestrians are crossing in crosswalks.
191,X,
"",,"When approaching near a railroad crossing, vehicles are required to stop"
192,O,"immediately as soon as the gates start to lower, or a crossing guard orders them"
"",,to stop.
"",,"Even if there is no warning siren or warning lights flashing at a railroad crossing,"
193,O,drivers still have to listen carefully and look both directions to make sure there is
"",,no train coming before they cross the tracks.
"",,Vehicles do not have to keep any distance between their car and the cars in the
194,X,front or rear when crossing railroad tracks.
"",,Drivers are required to comply with all control measures when they are traveling
195,O,on the roads being monitored or controlled by the authorities due to special
"",,circumstances.
196,X,Vehicles may travel on any roads under control at any time.
"",,"Drivers may not make a U-turn on roads that are winding or narrow, or that have"
197,O,"a steep slope, narrow bridge, tunnel, or railroad crossing."
"",,Vehicles may make U-turn anywhere there is enough space for the U-turn.
198,X,
"",,"Vehicles may not make a U-turn on roads with a No U-turn sign, a line"
199,O,"separating oncoming vehicles, or a line indicating no passing and no changing"
"",,lanes.
"",,Vehicles may not make a U-turn on roads where left turns are prohibited.
200,O,
"",,"Prior to making a U-turn, drivers are required to stop and signal their turn and"
201,O,make sure there is no oncoming traffic as well as no pedestrians.
"",,
"",,"When traveling downhill, drivers may not turn off their engine and coast down"
202,O,
"",,the hill.
203,X,Drivers may turn off their engine and coast down hill in order to save fuel.
"",,
"",,"Vehicles are required to wait their turn to board a ferry when crossing a river, and"
204,O,
"",,cannot cut in front of other vehicles.
"",,"If the goods loaded on vehicle exceed the maximum weight limit, the excessive"
205,O,weight must be removed from the vehicle before the vehicle is permitted to board
"",,the ferry and cross the river.
"",,Drivers are required to use their low-beam headlights when driving in urban
206,O,areas at night if the street lighting is bright enough.
"",,Drivers are required to use their high-beam headlights when driving in urban
207,X,areas at night if the street lighting is bright enough.
"",,"Vehicles may not drive in reverse on winding, narrow, sloping roads or one-way"
208,O,"lanes. However, vehicles that have to reverse in order to let others pass through,"
"",,"park, or start driving are not restricted."
"",,"Prior to backing up or driving in reverse, drivers are required to tap their horn 3"
209,X,long times in order to alert other vehicles and pedestrians.
"",,"Parking a vehicle in front of the entrance to a public facility, such as an airport,"
210,O,"bus or train station, wharf, or school is prohibited."
"",,A driver is required to either use their turn signal light or an arm signal to alert
211,O,any vehicle behind them in the same lane that they intend to slow down or stop
"",,temporarily.
212,O,Private passenger cars may not stop at taxi stands.
"",,Drivers may not stop their vehicle and block the road such that other vehicles are
213,O,unable to pass through.
"",,
"",,"If a driver has no choice but to stop their vehicle on a slope, they are required to"
214,O,
"",,use all possible means to ensure their vehicles do not roll down the slope.
"",,If a vehicle breaks down on an urban road and the driver is unable to remove it
215,X,"from the road, the driver is required to flash their emergency lights or left turn"
"",,signal only. There's no need to put out a vehicle breakdown sign.
"",,"If a vehicle breaks down on an urban road and cannot be moved, the driver is"
216,X,required to tap their horn to alert other vehicles.
"",,If a vehicle breaks down on a road with speed limit of 40km per hour and the
217,O,"driver is unable to remove the vehicle from the road, they are required to place a"
"",,vehicle breakdown sign 5 to 30 meters behind their vehicle.
"",,"Drivers are required to turn on their parking lights or use a reflective sign, if they"
218,O,intend to park on a road with no lights or with insufficient lighting.
"",,"Drivers are not required to turn on their parking lights or use a reflective sign, if"
219,X,they intend to park on a road with no lights or with insufficient lighting.
"",,"After parking a vehicle and before opening the door, it is critical to check for any"
220,O,passing pedestrians or vehicles and let them pass by first.
"",,Drivers are required to comply with the requirements stipulated by the highway
"",,"authority or the police regarding parking hours, locations, parking methods, and"
221,O,type of vehicle allowed to park at a specific location.
"",,Fire engines and security vehicles on duty are not subject to restrictions on
222,O,parking and parking at specific locations.
"",,Drivers are required to display warning flags on the edge of the front and rear of
223,O,their vehicle if their vehicle is loaded with dangerous cargo.
"",,"When parking on roadside at night or when there is heavy fog, rain, snow, sand"
224,X,"dust or reduced visibility during the day, drivers are not required to turn on lights"
"",,nor put out a reflective sign.
"",,"Anyone convicted of premeditated homicide, robbery, burglary, mugging,"
225,O,"threatening to commit robbery, or kidnapping is prohibited from driving a taxi."
"",,"If a vehicle breaks down on a road with speed limit over 40 km per hour, the"
226,O,driver is required to place a vehicle breakdown sign on the road 30 -100 meters
"",,behind the vehicle.
"",,"Effective February 2007, truck drivers who have been granted a tractor trailer"
227,X,license may also drive a bus.
"",,"Drivers possessing a bus driver's license may drive large trucks, large vehicles"
228,O,"for carrying both passengers and goods, trailer trucks, cars, and motorcycles."
229,O,Drivers possessing a large truck driver's license may drive a car or motorcycle.
"",,"If violators want to contest a traffic citation, they should file a lawsuit with the"
230,O,"Administrative Litigation Panels of the Dist. Courts, and the agency which took"
"",,the administrative action should be the defendant.
"",,Professional driver's license holders that are less than 60 years of age shall have
231,O,their professional driver's licenses reviewed and validated every three years from
"",,the date of issuance.
232,The goods loaded on a truck may not be wider than the body of the vehicle.  O,
233,O,Cargo loaded on a covered truck may not extend outside the truck.
"",,"Bicyclists, pedestrians and drivers of motorized tri-wheeled cycles will be fined"
234,O,if they do not attend traffic safety classes when they are required to do so.
"",,Drivers will be fined and their driver's licenses suspended for three months if
235,O,"they do not yield to a fire engine, ambulance, or security vehicle when they hear"
"",,"the siren, or if they speed behind a fire engine, ambulance, or security vehicle."
